iter	Passed	Remaining
0	238	23601
1	387	19000
2	631	20422
3	790	18970
4	937	17820
5	1085	17007
6	1222	16244
7	1397	16069
8	1549	15663
9	1697	15276
10	1854	15002
11	2027	14870
12	2163	14477
13	2357	14479
14	2523	14299
15	2694	14145
16	2894	14133
17	3082	14042
18	3256	13883
19	3386	13546
20	3558	13386
21	3688	13075
22	3843	12868
23	3990	12636
24	4171	12515
25	4355	12395
26	4494	12153
27	4646	11948
28	4809	11775
29	4962	11579
30	5126	11410
31	5290	11241
32	5483	11133
33	5640	10949
34	5774	10723
35	5948	10574
36	6099	10385
37	6240	10181
38	6395	10003
39	6525	9788
40	6654	9576
41	6786	9371
42	6937	9196
43	7070	8998
44	7232	8839
45	7404	8692
46	7545	8508
47	7678	8318
48	7964	8289
49	8112	8112
50	8265	7941
51	8377	7732
52	8495	7533
53	8606	7331
54	8720	7135
55	8831	6939
56	8940	6744
57	9054	6556
58	9167	6370
59	9273	6182
60	9390	6003
61	9518	5833
62	9684	5687
63	9803	5514
64	9922	5342
65	10036	5170
66	10155	5002
67	10283	4839
68	10413	4678
69	10541	4517
70	10664	4356
71	10792	4197
72	10916	4037
73	11040	3879
74	11160	3720
75	11282	3562
76	11404	3406
77	11527	3251
78	11646	3095
79	11772	2943
80	11895	2790
81	12018	2638
82	12142	2486
83	12278	2338
84	12403	2188
85	12522	2038
86	12647	1889
87	12771	1741
88	12869	1590
89	12995	1443
90	13126	1298
91	13247	1151
92	13352	1005
93	13459	859
94	13583	714
95	13713	571
96	13835	427
97	13962	284
98	14086	142
99	14215	0
